Range(m),Elevation(degrees),Azimuth(degrees),Reflectivity,Time Stamp(s),Latitude,Longitude,Time Stamp(s)
9.279999999999999361e+00,1.000000000000000000e+00,2.701379166666666833e+02,1.900000000000000000e+01,2.476166580000000067e+03,3.410640083333333195e+01,-1.177120456666666684e+02,2.476241363000000092e+03
9.272000000000000242e+00,1.000000000000000000e+00,2.700781250000000000e+02,1.700000000000000000e+01,2.477266749999999774e+03,3.410640049999999945e+01,-1.177120458333333346e+02,2.477338127999999870e+03
9.275999999999999801e+00,1.000000000000000000e+00,2.702731249999999932e+02,2.100000000000000000e+01,2.477266749999999774e+03,3.410640049999999945e+01,-1.177120458333333346e+02,2.477338127999999870e+03
9.282000000000000028e+00,1.000000000000000000e+00,2.702383333333333439e+02,2.100000000000000000e+01,2.477566675000000032e+03,3.410640049999999945e+01,-1.177120458333333346e+02,2.477647006000000147e+03
9.273999999999999133e+00,1.000000000000000000e+00,2.704383333333333326e+02,2.100000000000000000e+01,2.477566675000000032e+03,3.410640049999999945e+01,-1.177120458333333346e+02,2.477647006000000147e+03
9.288000000000000256e+00,1.000000000000000000e+00,2.699381250000000136e+02,1.700000000000000000e+01,2.477866601000000173e+03,3.410640049999999945e+01,-1.177120458333333346e+02,2.477945670000000064e+03
9.282000000000000028e+00,1.000000000000000000e+00,2.701331250000000068e+02,1.900000000000000000e+01,2.477866601000000173e+03,3.410640049999999945e+01,-1.177120458333333346e+02,2.477945670000000064e+03
9.269999999999999574e+00,1.000000000000000000e+00,2.695883333333333098e+02,2.100000000000000000e+01,2.478466452000000118e+03,3.410640016666666696e+01,-1.177120461666666671e+02,2.478546345000000201e+03
9.284000000000000696e+00,1.000000000000000000e+00,2.697883333333333553e+02,2.100000000000000000e+01,2.478466452000000118e+03,3.410640016666666696e+01,-1.177120461666666671e+02,2.478546345000000201e+03
9.291999999999999815e+00,1.000000000000000000e+00,2.704783333333333530e+02,1.900000000000000000e+01,2.479266696000000138e+03,3.410640000000000072e+01,-1.177120466666666658e+02,2.479340290000000095e+03
9.266000000000000014e+00,1.000000000000000000e+00,2.706783333333333417e+02,8.500000000000000000e+01,2.479266696000000138e+03,3.410640000000000072e+01,-1.177120466666666658e+02,2.479340290000000095e+03
9.278000000000000469e+00,1.000000000000000000e+00,2.698083333333333371e+02,2.100000000000000000e+01,2.479566621999999825e+03,3.410640000000000072e+01,-1.177120466666666658e+02,2.479638816000000133e+03
9.295999999999999375e+00,1.000000000000000000e+00,2.700083333333333258e+02,1.900000000000000000e+01,2.479566621999999825e+03,3.410640000000000072e+01,-1.177120466666666658e+02,2.479638816000000133e+03
9.285999999999999588e+00,1.000000000000000000e+00,2.698483333333333007e+02,1.900000000000000000e+01,2.479866547999999966e+03,3.410640000000000072e+01,-1.177120466666666658e+02,2.479937315000000126e+03
9.279999999999999361e+00,1.000000000000000000e+00,2.700483333333333462e+02,1.700000000000000000e+01,2.479866547999999966e+03,3.410640000000000072e+01,-1.177120466666666658e+02,2.479937315000000126e+03
9.279999999999999361e+00,1.000000000000000000e+00,2.699385416666666515e+02,1.700000000000000000e+01,2.480966716999999790e+03,3.410639983333333447e+01,-1.177120471666666646e+02,2.481033923999999843e+03
9.289999999999999147e+00,1.000000000000000000e+00,2.701435416666666356e+02,1.900000000000000000e+01,2.480966716999999790e+03,3.410639983333333447e+01,-1.177120471666666646e+02,2.481033923999999843e+03
9.273999999999999133e+00,1.000000000000000000e+00,2.695283333333333076e+02,2.200000000000000000e+01,2.481266642999999931e+03,3.410640000000000072e+01,-1.177120474999999971e+02,2.481342895000000226e+03
9.278000000000000469e+00,1.000000000000000000e+00,2.697283333333333530e+02,2.100000000000000000e+01,2.481266642999999931e+03,3.410640000000000072e+01,-1.177120474999999971e+02,2.481342895000000226e+03
9.278000000000000469e+00,1.000000000000000000e+00,2.696883333333333326e+02,1.900000000000000000e+01,2.481566569000000072e+03,3.410640000000000072e+01,-1.177120474999999971e+02,2.481646329000000151e+03
9.262000000000000455e+00,1.000000000000000000e+00,2.698883333333333212e+02,1.900000000000000000e+01,2.481566569000000072e+03,3.410640000000000072e+01,-1.177120474999999971e+02,2.481646329000000151e+03
9.273999999999999133e+00,1.000000000000000000e+00,2.703081250000000182e+02,2.100000000000000000e+01,2.482666737999999896e+03,3.410640000000000072e+01,-1.177120478333333295e+02,2.482750395999999910e+03
9.282000000000000028e+00,1.000000000000000000e+00,2.705031250000000114e+02,1.900000000000000000e+01,2.482666737999999896e+03,3.410640000000000072e+01,-1.177120478333333295e+02,2.482750395999999910e+03
9.268000000000000682e+00,1.000000000000000000e+00,2.700083333333333258e+02,1.900000000000000000e+01,2.482966664000000037e+03,3.410640000000000072e+01,-1.177120478333333295e+02,2.483036211000000094e+03
9.275999999999999801e+00,1.000000000000000000e+00,2.702083333333333144e+02,2.100000000000000000e+01,2.482966664000000037e+03,3.410640000000000072e+01,-1.177120478333333295e+02,2.483036211000000094e+03
9.272000000000000242e+00,1.000000000000000000e+00,2.696581249999999841e+02,1.900000000000000000e+01,2.483266590000000178e+03,3.410640000000000072e+01,-1.177120483333333283e+02,2.483356008000000202e+03
9.273999999999999133e+00,1.000000000000000000e+00,2.698531249999999773e+02,1.900000000000000000e+01,2.483266590000000178e+03,3.410640000000000072e+01,-1.177120483333333283e+02,2.483356008000000202e+03
9.278000000000000469e+00,1.000000000000000000e+00,2.695085416666666447e+02,2.200000000000000000e+01,2.483566514999999981e+03,3.410640000000000072e+01,-1.177120483333333283e+02,2.483644433999999819e+03
9.278000000000000469e+00,1.000000000000000000e+00,2.697135416666666856e+02,1.900000000000000000e+01,2.483566514999999981e+03,3.410640000000000072e+01,-1.177120483333333283e+02,2.483644433999999819e+03
9.278000000000000469e+00,1.000000000000000000e+00,2.695181249999999977e+02,2.200000000000000000e+01,2.483866441000000123e+03,3.410640000000000072e+01,-1.177120483333333283e+02,2.483941402999999809e+03
9.284000000000000696e+00,1.000000000000000000e+00,2.697131249999999909e+02,2.100000000000000000e+01,2.483866441000000123e+03,3.410640000000000072e+01,-1.177120483333333283e+02,2.483941402999999809e+03
9.282000000000000028e+00,1.000000000000000000e+00,2.701783333333333417e+02,1.900000000000000000e+01,2.484666685000000143e+03,3.410640016666666696e+01,-1.177120484999999945e+02,2.484750779999999850e+03
9.278000000000000469e+00,1.000000000000000000e+00,2.703783333333333303e+02,2.200000000000000000e+01,2.484666685000000143e+03,3.410640016666666696e+01,-1.177120484999999945e+02,2.484750779999999850e+03
9.278000000000000469e+00,1.000000000000000000e+00,2.696683333333333508e+02,2.100000000000000000e+01,2.484966610999999830e+03,3.410640016666666696e+01,-1.177120484999999945e+02,2.485043642999999975e+03
9.282000000000000028e+00,1.000000000000000000e+00,2.698683333333333394e+02,1.900000000000000000e+01,2.484966610999999830e+03,3.410640016666666696e+01,-1.177120484999999945e+02,2.485043642999999975e+03
9.282000000000000028e+00,1.000000000000000000e+00,2.697783333333333076e+02,2.100000000000000000e+01,2.485266536000000087e+03,3.410640033333333321e+01,-1.177120483333333283e+02,2.485340877000000091e+03
9.284000000000000696e+00,1.000000000000000000e+00,2.699783333333333530e+02,1.900000000000000000e+01,2.485266536000000087e+03,3.410640033333333321e+01,-1.177120483333333283e+02,2.485340877000000091e+03
